One (1),一 
Two (2),二
Three (3),三
Four (4),四
Five (5),五
Six (6),六
Seven (7),七 
Eight (8),八
Nine (9),九 
Ten (10),十
Hundred (100),百 
"Thousand (1,000)",千
"Ten thousan(10,000)",万
"One hundred million(100,000,000)",亿
"Trillion(1,000,000,000,000)",万亿
Twenty-five（25）,二十五
Three hundred and twenty-five（325）,三百二十五
"Two thousand three hundred and twenty-five（2,325）",两千三百二十五
"A hundred and two thousand three hundred and twenty-five（102,325）",十万两千三百二十五
Hello/How are you?/How's it going?...,你好
You(Second Person Singular),你
Good,好
Good morning.,早上好
morning,早上
Hello everyone!,大家好
big,大
home/family,家
Happy New Year!,新年快乐！
Happy,快乐
New,新
Year,年
Congratulations and be prosperous(Wish you to be rich).,恭喜发财
Congratulations,恭喜！
To be rich/prosperous,发财
Could you tell me…?/May I ask...?/Excuse me,请问
Thank you!/ I appreciate it.,谢谢
See ya/ See you/Good-bye/Bye-Bye,再见
You are welcome.,不客气。
I’m sorry./Pardon me.,对不起。
Right/Yes/correct,对
Not / no,不
qi/Get up/Seven/Wife…,气
It doesn't matter/ It's OK.,没关系
Don't get angry.,别生气。
Get/Birth/Sound,生
Doctor,医生
Birthday,生日
day/sun,日
Happy birthday!,生日快乐！
a/an,一个
This/The,这/这个
Was/is/am/are/were/been,是
Yes,是的
My/mine,我的
This is mine.,这是我的。
This is my guitar.,这是我的吉他。
The guitar is mine.,这个吉他是我的。
I / me,我
of / ’s,的 
He is my best friend.,他是我最好的朋友。
best,最好的
friend,朋友
You(Second Person Singular),你
Your/Yours（Second Person Singular）,你的
It/he/she/him/her,它
Its/her/hers/his,它的
mer n,们
We/us,我们
Our/Ours,我们的
You（Second Person Plural）,你们
Your/Yours（Second Person Plural）,你们的
They/Them,他们
Their/Theirs,他们的
I am Leo.,我是利奥。
This is my younger brother ‘Juan’.,这是我的弟弟胡安。
younger brother,弟弟
elder brother,哥哥
country,国
the United States,美国
We are  Amerian.,我们是美国人。
human/man/people/person/Individual,人
China,中国
Korea,韩国
Thailand,泰国
England/U.K.,英国
Germany,德国
France,法国
I like China.,我喜欢中国。
like/love,喜欢
Yes-no questions,是的，我是
Are you Lily?,你是莉莉吗？
"No, I am not.",不，我不是。
I am not Lily.,我不是莉莉。
I can play  guitar.,我会弹吉他。
can,会
play,弹
guitar,吉他
Can you play  guitar?,你会弹吉他吗？
mah,吗
"Yes, I can.",是的，我会
"No, I can’t.",不，我不会
I can't play guitar.,我不会弹吉他。
I like singing.,我喜欢唱歌。
singing/sing a song,唱歌
Do you like singing?,你喜欢唱歌吗？
"Yes , I do.",是的，我喜欢
"No, I don’t.",不，我喜欢
I don’t like singing.,我不喜欢唱歌。
What do you like?/What are you into?,你喜欢什么？
What,什么
What book do you like?,你喜欢什么书？
Who are you looking for?,你找谁？
Who,谁的
look for/be looking for,找
Whose guitar is this?,这是谁的吉他？
Whose,谁的
Which do you like best?,你最喜欢哪个？
Which,哪个
When is the meeting?,会议是什么时候？
meeting,会议
When/what time,什么时候
time,时候
Where are you from?,你来自哪里？
From,来自
Where,哪里
Why not?,为什么不
Why,为什么
How to go to the nearest supermarket?,最近的超市怎么走
How,怎么
go/to go to,走
nearest,最近的
supermarket,超市
How far (is it)?,多远？
How,多
far,远
How many/How much,多少
How much (is it)?,多少钱
How old （are you）?,多大
Welcome.,欢迎。
How many in your party/of you?,您几位？
how many(people),几位
Two.,两位
"This way, please.",这边请
Here’s the menu.,这是菜单。
Here’s,这是
 menu,菜单
Thank you.,谢谢。
What would you like to drink?,你想要喝什么？
would like= want,想要
to drink,喝
Two cups of milk tea.,两杯奶茶。
cup,杯
milk,奶
tea,茶
What are your specialties ?,你们的招牌菜是什么？
specialties,招牌菜
Orange Chicken,陈皮鸡
Broccoli beef,芥蓝牛
Dumplings,饺子
Mapo Tofu,麻婆豆腐
No spicy,不要辣
spicy,辣
Mildly spicy,微辣
"Check,(please).",买单
Good afternoon.,下午好。
afternoon,下午
What’s the matter ?,怎么啦 ？
lah,啦
I have a headache.,我头疼。
head,头
ache,疼
I have a runny nose,流鼻涕
runny,流
How long (have you had it)?,多久啦
long,久
Three days,三天
day,天
Take your temperature,量体温
take/measure,量
temperature,体温
Open your mouth.,张开嘴。
open,张开
mouth,嘴
Say ‘ah’.,说“啊”。
(It's just) a common cold.,普通感冒
common,普通
cold,感冒
Get more rest and drink more water.,多休息，多喝水。
more,多
rest,休息
drink,喝
water,水
passport,护照
driver’s license,驾照
take a photo,拍照
fingerprint,指纹
name,姓名
First name,名字
Last name,姓什么
signature,签名
Telephone,电话
address,地址
Line up,排队
Next/next one,下一个
(wait) a moment,等一下
Got it/understand.,听懂了
Ler ,了
Got it?,听懂了吗？
